Current (A),Voltage_B1(V),Voltage_B2(V),Voltage_B3(V)
1.659770,4.049895,4.099281,4.140449
1.660592,4.049895,4.099281,4.140449
1.660592,4.051544,4.100937,4.142942
1.659770,4.051544,4.100937,4.142942
1.660592,4.049895,4.098453,4.140449
1.660592,4.050720,4.100937,4.142111
1.659770,4.051544,4.100937,4.143774
1.660592,4.050720,4.100937,4.142942
1.661414,4.049071,4.098453,4.140449
1.659770,4.050720,4.100109,4.142111
1.660592,4.051544,4.100937,4.142942
1.660592,4.051544,4.100937,4.142111
1.660592,4.049071,4.098453,4.139618
1.661414,4.049895,4.098453,4.140449
1.659770,4.051544,4.100937,4.142942
1.659770,4.051544,4.100109,4.142111
1.659770,4.050720,4.099281,4.141280
1.660592,4.049071,4.098453,4.140449
1.659770,4.050720,4.100109,4.142111
1.659770,4.051544,4.100109,4.142111
1.659770,4.050720,4.100109,4.142111
1.661414,4.048247,4.097625,4.140449
1.659770,4.049071,4.098453,4.141280
1.659770,4.050720,4.100109,4.142942
1.659770,4.050720,4.100937,4.142942
1.661414,4.049071,4.098453,4.140449
1.661414,4.048247,4.098453,4.139618
1.659770,4.050720,4.100109,4.141280
1.659770,4.051544,4.100937,4.142111
1.660592,4.050720,4.100109,4.141280
1.659770,4.048247,4.097625,4.138787
1.660592,4.048247,4.098453,4.139618
1.659770,4.050720,4.100109,4.141280
1.659770,4.050720,4.100937,4.142111
1.659770,4.050720,4.100109,4.140449
1.660592,4.049071,4.098453,4.138787
1.661414,4.049071,4.098453,4.138787
1.659770,4.050720,4.100109,4.141280
1.660592,4.050720,4.100109,4.141280
1.660592,4.049071,4.098453,4.140449
1.660592,4.047423,4.097625,4.138787
1.660592,4.049071,4.098453,4.139618
1.659770,4.050720,4.099281,4.141280
1.659770,4.050720,4.099281,4.141280
1.661414,4.049895,4.098453,4.140449
1.661414,4.048247,4.098453,4.138787
1.660592,4.048247,4.098453,4.138787
1.659770,4.050720,4.100109,4.141280
1.660592,4.050720,4.100109,4.141280
1.659770,4.049071,4.098453,4.140449
1.661414,4.047423,4.097625,4.138787
1.660592,4.048247,4.097625,4.138787
1.659770,4.050720,4.099281,4.140449
1.659770,4.049895,4.099281,4.140449
1.660592,4.048247,4.098453,4.139618
1.661414,4.048247,4.097625,4.137956
1.660592,4.048247,4.098453,4.139618
1.661414,4.049071,4.099281,4.140449
1.659770,4.049895,4.099281,4.140449
